,회사명,종목코드,상장일
1294,한일건설,006440.KS,1993-01-30
1295,한일약품공업,003040.KS,1976-03-18
1296,항도종금,014980.KS,1985-03-25
1297,해동금고,007420.KS,1990-02-24
1298,해외섬유,028900.KS,1975-12-27
1299,현대오토넷,042100.KS,2002-07-26
1300,현대종금,011880.KS,1988-10-10
1301,BYC,001460.KS,1975-06-02
1302,DB손해보험,005830.KS,1973-06-28
1303,GS,078930.KS,2004-08-05
1304,HMM,011200.KS,1995-10-05
1305,JB금융지주,175330.KS,2013-07-18
1306,LS네트웍스,000680.KS,1973-11-15
1307,NH투자증권,005940.KS,1975-09-30
1308,SK,034730.KS,2009-11-11
1309,SK디스커버리,006120.KS,1976-06-29
1310,강남제비스코,000860.KS,1975-11-12
1311,경동나비엔,009450.KS,1993-08-31
1312,광명전기,017040.KS,1990-09-14
1313,그린케미칼,083420.KS,2005-10-20
1314,금호석유화학,011780.KS,1988-01-22
1315,깨끗한나라,004540.KS,1975-06-25
1316,남광토건,001260.KS,1976-12-28
1317,노루홀딩스,000320.KS,1973-08-10
1318,대동공업,000490.KS,1975-06-27
1319,대상홀딩스,084690.KS,2005-08-17
1320,대성에너지,117580.KS,2010-12-24
1321,대우부품,009320.KS,1989-08-25
1322,대우조선해양,042660.KS,2001-02-02
1323,대창단조,015230.KS,1989-07-25
1324,대현,016090.KS,1990-09-20
1325,도화엔지니어링,002150.KS,2010-08-12
1326,동성화학,005190.KS,1988-07-01
1327,동아에스티,170900.KS,2013-04-08
1328,동아지질,028100.KS,2009-06-12
1329,동일고무벨트,163560.KS,2012-10-19
1330,동일산업,004890.KS,2005-06-30
1331,동일제강,002690.KS,2015-09-24
1332,두올,016740.KS,2016-07-29
1333,드림텍,192650.KS,2019-03-14
1334,롯데지주,004990.KS,1974-02-16
1335,롯데푸드,002270.KS,1973-05-09
1336,모나리자,012690.KS,1988-10-14
1337,무림페이퍼,009200.KS,1990-06-09
1338,미래산업,025560.KS,1996-11-22
1339,미래에셋대우,006800.KS,1975-09-30
1340,보해양조,000890.KS,1988-09-23
1341,삼광글라스,005090.KS,1993-01-06
1342,삼화콘덴서공업,001820.KS,1976-06-26
1343,상신브레이크,041650.KS,2004-10-27
1344,서울도시가스,017390.KS,1995-08-18
1345,성안,011300.KS,1995-11-10
1346,신대양제지,016590.KS,1995-12-21
1347,신흥,004080.KS,1991-02-08
1348,쎌마테라퓨틱스,015540.KS,1989-09-02
1349,에스원,012750.KS,1996-01-30
1350,에스케이바이오팜,326030.KS,2020-07-02
1351,에이프로젠제약,003060.KS,1984-10-19
1352,영풍제지,006740.KS,1996-07-03
1353,우리들제약,004720.KS,1990-06-15
1354,우리종금,010050.KS,1974-09-11
1355,우진아이엔에스,010400.KS,2018-09-14
1356,웅진씽크빅,095720.KS,2007-05-31
1357,유수홀딩스,000700.KS,1956-03-03
1358,유엔젤,072130.KS,2003-07-01
1359,율촌화학,008730.KS,1988-08-30
1360,이지스레지던스리츠,350520.KS,2020-08-05
1361,이화산업,000760.KS,1994-04-29
1362,인팩,023810.KS,2004-09-21
1363,일신방직,003200.KS,1973-05-23
1364,일진디스플,020760.KS,2002-01-09
1365,일진머티리얼즈,020150.KS,2011-03-04
1366,제주은행,006220.KS,1972-12-28
1367,제주항공,089590.KS,2015-11-06
1368,종근당,185750.KS,2013-12-06
1369,진양홀딩스,100250.KS,2008-02-15
1370,천일고속,000650.KS,1977-06-23
1371,체시스,033250.KS,1999-08-11
1372,카프로,006380.KS,1974-05-28
1373,케이티앤지,033780.KS,1999-10-08
1374,태광산업,003240.KS,1975-12-27
1375,태영건설,009410.KS,1989-11-13
1376,풍산,103140.KS,2008-07-30
1377,하나금융지주,086790.KS,2005-12-12
1378,한국가스공사,036460.KS,1999-12-15
1379,한국전력공사,015760.KS,1989-08-10
1380,한국항공우주,047810.KS,2011-06-30
1381,한성기업,003680.KS,1989-01-26
1382,한세예스24홀딩스,016450.KS,2000-01-06
1383,한솔홈데코,025750.KS,2003-11-04
1384,한일시멘트,300720.KS,2018-08-06
1385,한일홀딩스,003300.KS,1969-11-20
1386,한전KPS,051600.KS,2007-12-14
1387,한진칼,180640.KS,2013-09-16
1388,한창,005110.KS,1976-06-01
1389,현대그린푸드,005440.KS,1989-08-22
1390,현대로템,064350.KS,2013-10-30
1391,현대미포조선,010620.KS,1983-12-20
1392,현대약품,004310.KS,1978-06-28
1393,현대종합상사,011760.KS,1977-12-01
1394,화신,010690.KS,1994-01-14
1395,휴켐스,069260.KS,2002-10-07
1396,흥국화재,000540.KS,1974-12-05
