,회사명,종목코드,상장일
220,아시아퍼시픽13호,083600.KS,2005-08-23
221,아시아퍼시픽14호,083610.KS,2005-07-15
222,에스와이,004530.KS,1988-06-18
223,에프지엔개발리츠,119250.KS,2010-05-03
224,영원통신,028520.KS,1991-02-09
225,우리금융지주,053000.KS,2002-06-24
226,인천중공업,028770.KS,1966-03-18
227,일신,031060.KS,1976-10-13
228,제일저축은행,024100.KS,1997-02-12
229,중국고섬,950070.KS,2011-01-25
230,진성레미컨,002910.KS,1994-09-16
231,진영산업,004330.KS,1976-12-28
232,청화상공,016490.KS,1989-01-31
233,카스코,005330.KS,1989-05-30
234,케이엠에이치,009690.KS,1990-01-29
235,코리아03호,090990.KS,2006-07-21
236,코크렙II,070540.KS,2002-11-11
237,코크렙제3호CR리츠,073530.KS,2003-08-29
238,태화쇼핑,015880.KS,1994-11-05
239,태흥피혁,016680.KS,1988-05-02
240,티이씨코,008900.KS,1984-09-19
241,풍진,028640.KS,1976-12-28
242,플래티넘3호,035040.KS,1999-06-30
243,플래티넘타겟,035050.KS,1999-06-30
244,하나니켈2호,099350.KS,2008-02-01
245,하나은행,002860.KS,1962-07-13
246,하이골드8호,159650.KS,2012-09-17
247,한국제지,002300.KS,1971-06-23
248,한일방직,004210.KS,1978-06-28
249,한일양행의약품,004350.KS,1989-08-22
250,한주통산,000450.KS,1989-03-08
251,한진건설,005660.KS,1978-08-28
252,한화폴리드리머,003500.KS,1973-12-28
253,허메스홀딩스,012400.KS,1988-06-15
254,현대경매부동산일호,083160.KS,2005-04-21
255,현대리바트,012830.KS,1989-07-26
256,현대페인트,011720.KS,1989-05-30
257,호승,017070.KS,1990-03-09
258,CJ CGV,079160.KS,2004-12-24
259,HDC현대EP,089470.KS,2006-09-25
260,JW홀딩스,096760.KS,2007-07-31
261,KB금융,105560.KS,2008-10-10
262,SG충방,001380.KS,1976-06-29
263,금강공업,014280.KS,1988-09-10
264,금호산업,002990.KS,1976-06-26
265,금호전기,001210.KS,1973-11-15
266,기업은행,024110.KS,2003-12-24
267,남선알미늄,008350.KS,1978-05-22
268,남성,004270.KS,1989-11-14
269,넷마블,251270.KS,2017-05-12
270,대구백화점,006370.KS,1988-10-10
271,대우건설,047040.KS,2001-03-23
272,대원제약,003220.KS,1999-12-15
273,대한방직,001070.KS,1973-12-28
274,대한제당,001790.KS,1968-12-27
275,대한해운,005880.KS,1992-04-23
276,덕양산업,024900.KS,1997-06-23
277,동원금속,018500.KS,1995-11-10
278,두산인프라코어,042670.KS,2001-02-02
279,디씨엠,024090.KS,1999-08-18
280,디티알오토모티브,007340.KS,1988-09-24
281,롯데손해보험,000400.KS,1971-04-16
282,롯데칠성음료,005300.KS,1973-06-21
283,롯데하이마트,071840.KS,2011-06-29
284,미래에셋생명,085620.KS,2015-07-08
285,미원홀딩스,107590.KS,2009-03-02
286,백산,035150.KS,1999-08-11
287,보락,002760.KS,1989-11-30
288,사조대림,003960.KS,1976-09-16
289,사조동아원,008040.KS,1989-06-24
290,서원,021050.KS,1996-01-30
291,세방,004360.KS,1977-05-19
292,세아홀딩스,058650.KS,2001-07-30
293,세이브존I&C,067830.KS,2002-07-25
294,신송홀딩스,006880.KS,2013-11-21
295,신일전자,002700.KS,1975-09-30
296,써니전자,004770.KS,1987-04-22
297,아이마켓코리아,122900.KS,2010-07-30
298,아이에이치큐,003560.KS,1973-12-18
299,에이블씨엔씨,078520.KS,2011-09-07
300,엔씨소프트,036570.KS,2003-05-22
301,영보화학,014440.KS,1997-08-27
302,영진약품,003520.KS,1973-06-25
303,영풍,000670.KS,1976-06-12
304,예스코홀딩스,015360.KS,1996-12-24
305,유니온머티리얼,047400.KS,2009-09-29
306,유유제약,000220.KS,1975-11-18
307,유한양행,000100.KS,1962-11-01
308,이마트,139480.KS,2011-06-10
309,이수화학,005950.KS,1988-04-28
310,이스타코,015020.KS,1988-12-23
311,인천도시가스,034590.KS,2006-11-07
312,일정실업,008500.KS,1994-08-12
313,종근당홀딩스,001630.KS,1976-06-30
314,지엠비코리아,013870.KS,2012-11-20
315,진원생명과학,011000.KS,1987-11-16
316,컨버즈,109070.KS,2009-03-17
317,케이씨텍,281820.KS,2017-12-05
318,코리아써키트,007810.KS,1985-09-09
319,코스모화학,005420.KS,1987-07-23
320,코아스,071950.KS,2005-08-04
321,코오롱플라스틱,138490.KS,2011-06-15
322,쿠쿠홀딩스,192400.KS,2014-08-06
323,큐로,015590.KS,1989-05-27
324,티비에이치글로벌,084870.KS,2005-12-19
325,폴루스바이오팜,007630.KS,1988-10-24
326,하이트론씨스템즈,019490.KS,1998-11-04
327,한국금융지주,071050.KS,2003-07-21
328,한국전자홀딩스,006200.KS,1979-11-30
329,한국타이어앤테크놀로지,161390.KS,2012-10-04
330,한국테크놀로지그룹,000240.KS,1968-12-27
331,한국토지신탁,034830.KS,2016-07-11
332,한국특수형강,007280.KS,1989-11-13
333,한화솔루션,009830.KS,1974-06-19
334,해태제과식품,101530.KS,2016-05-11
335,현대에너지솔루션,322000.KS,2019-11-19
336,현대에이치씨엔,126560.KS,2010-12-23
337,현대위아,011210.KS,2011-02-21
338,현대코퍼레이션홀딩스,227840.KS,2015-10-23
339,호텔신라,008770.KS,1991-03-12
340,화승인더스트리,006060.KS,1991-02-04
341,화천기공,000850.KS,1999-11-18
342,환인제약,016580.KS,1996-07-03
343,효성,004800.KS,1973-06-30
344,효성화학,298000.KS,2018-07-13
345,흥아해운,003280.KS,1976-06-29
346,KB캐피탈,021960.KS,1996-11-19
347,LG금속,000170.KS,1975-12-13
348,갑을,009840.KS,1989-08-01
349,경남은행,192520.KS,2014-05-22
350,경성전기,028740.KS,1956-03-03
351,계몽사,011840.KS,1989-07-28
352,고려증권,002730.KS,1986-11-29
353,고합물산,007380.KS,1990-07-18
354,국민은행,060000.KS,2001-11-09
355,금강산업,028970.KS,1978-03-16
356,금성기전,007230.KS,1977-05-27
357,금성통신,006270.KS,1974-07-31
358,기온물산,028510.KS,1991-02-09
359,다산리츠,105380.KS,2010-09-09
360,다함이텍,009280.KS,1988-09-27
361,대구종금,014390.KS,1988-01-18
362,대신불펀드일,036390.KS,1999-09-29
363,대아리드선,009940.KS,1989-09-05
364,대우정밀공업,015730.KS,1993-01-20
365,대한염업,028890.KS,1966-03-18
366,동국전자,012220.KS,1989-08-22
367,동산씨앤지,001400.KS,1976-06-08
368,동서호라이즌증권,001090.KS,1975-09-30
369,동신,012270.KS,1989-08-25
370,동화은행,021310.KS,1996-07-03
371,두산건설,011160.KS,1996-01-30
372,두산백화,000330.KS,1973-12-28
373,두산테크팩,001690.KS,1972-10-17
374,레이디,025840.KS,1995-10-05
375,리젠트종금,015650.KS,1988-07-19
376,리젠트화재보험,001030.KS,1962-07-13
377,마이크로닉스,001190.KS,1988-10-20
378,만도기계,005790.KS,1988-01-25
379,미우,009990.KS,1988-06-21
380,바다로3호,092630.KS,2006-11-02
381,반도목재,029250.KS,1976-03-22
382,벽산건설,002530.KS,1975-06-30
383,부산은행,005280.KS,1972-06-15
384,부흥,003930.KS,1976-06-30
385,산은캐피탈,008270.KS,1995-03-17
386,삼도물산,002930.KS,1976-04-28
387,삼양종금,014450.KS,1988-10-26
388,삼익주택,005580.KS,1976-12-28
389,삼화프라스틱,028950.KS,1975-05-16
390,새한종금,011960.KS,1989-10-16
391,서울저축은행,016560.KS,1996-11-19
392,선진지주,014300.KS,1994-01-14
393,스타리스,018020.KS,1996-11-19
394,신광기업,001580.KS,1988-10-26
395,신동방CP,004660.KS,1977-06-30
396,신원제이엠씨,001160.KS,1978-07-28
397,신한종금,016350.KS,1988-05-06
398,신한카드,032710.KS,2002-04-22
399,아시아5호,082240.KS,2005-03-16
400,아이넥스,008440.KS,1988-06-20
401,양우화학공업,028590.KS,1990-09-10
402,우단,016260.KS,1989-11-11
403,울산실업,029100.KS,1978-01-30
404,장인환1호,036870.KS,1999-11-30
405,중원전자,028610.KS,1988-07-28
406,청구,011510.KS,1994-08-12
407,코크렙1호부동산투자,067910.KS,2002-05-30
408,태양이앤테크,013070.KS,1988-09-09
409,태창목재공업,029140.KS,1975-12-27
410,태평양제약,016570.KS,1988-09-22
411,평산차업,950010.KS,2007-11-26
412,플래티넘2호,034850.KS,1999-06-09
413,피어리스,002130.KS,1989-07-25
414,하나니켈1호,099340.KS,2008-02-01
415,한국고덴시,027840.KS,1997-11-25
416,한국물산,011820.KS,1988-09-01
417,한국씨티은행,016830.KS,1989-11-11
418,한국주택은행,027460.KS,1996-03-07
419,한메NS,006150.KS,1994-08-12
420,한스종금,012710.KS,1994-09-16
421,한화갤러리아타임월드,027390.KS,1996-01-30
422,현대푸드,114410.KS,2009-12-17
423,환영철강공업,012670.KS,1989-12-16
424,BGF리테일,282330.KS,2017-12-08
425,BNK금융지주,138930.KS,2011-03-30
426,CJ제일제당,097950.KS,2007-09-28
427,DRB동일,004840.KS,1976-05-21
428,GS건설,006360.KS,1981-08-03
429,HDC아이콘트롤스,039570.KS,2015-09-24
430,KPX케미칼,025000.KS,1994-12-27
431,KTis,058860.KS,2010-12-17
432,LG상사,001120.KS,1976-01-30
433,MH에탄올,023150.KS,1996-12-24
434,SBS,034120.KS,2003-06-25
435,SBS미디어홀딩스,101060.KS,2008-03-24
436,SK텔레콤,017670.KS,1989-11-07
437,강원랜드,035250.KS,2003-09-04
438,교보증권,030610.KS,2002-07-18
439,국제약품,002720.KS,1975-12-27
440,금양,001570.KS,1976-12-17
441,금호에이치티,214330.KS,2015-11-11
442,남해화학,025860.KS,1995-11-10
443,넥센타이어,002350.KS,1976-05-19
444,녹십자홀딩스,005250.KS,1978-08-28
445,농심홀딩스,072710.KS,2003-07-30
446,다스코,058730.KS,2004-08-02
447,대림건설,001880.KS,1977-12-22
448,대웅제약,069620.KS,2002-11-01
449,더존비즈온,012510.KS,1988-10-28
450,덕성,004830.KS,1987-09-25
451,동방아그로,007590.KS,1977-06-29
452,동서,026960.KS,2016-07-15
453,동성코퍼레이션,102260.KS,2008-06-23
454,동양,001520.KS,1976-06-25
455,동양생명,082640.KS,2009-10-08
456,동원산업,006040.KS,1989-03-07
457,두산퓨얼셀,336260.KS,2019-10-18
458,디아이,003160.KS,1996-07-31
459,디와이,013570.KS,1989-05-30
460,디피씨,026890.KS,1997-11-25
461,롯데정밀화학,004000.KS,1976-04-15
462,롯데정보통신,286940.KS,2018-07-27
463,맥쿼리인프라,088980.KS,2006-03-15
464,메타랩스,090370.KS,2006-12-26
465,명문제약,017180.KS,2008-07-10
466,모토닉,009680.KS,1994-01-14
467,미래에셋맵스리츠,357250.KS,2020-08-05
468,미원화학,134380.KS,2011-02-15
469,범양건영,002410.KS,1988-05-25
470,베트남개발1,096300.KS,2007-06-13
471,빙그레,005180.KS,1978-08-31
472,삼성에스디에스,018260.KS,2014-11-14
473,삼성증권,016360.KS,1988-03-28
474,삼성카드,029780.KS,2007-06-27
475,삼양통상,002170.KS,1989-11-10
476,삼영무역,002810.KS,1988-03-28
477,삼정펄프,009770.KS,2006-10-17
478,샘표식품,248170.KS,2016-08-09
479,서연이화,200880.KS,2014-08-08
480,성보화학,003080.KS,1976-12-23
481,세아제강,306200.KS,2018-10-05
482,센트랄모텍,308170.KS,2019-11-25
483,송원산업,004430.KS,1977-06-25
484,신성이엔지,011930.KS,1996-07-31
485,신세계인터내셔날,031430.KS,2011-07-14
486,신세계푸드,031440.KS,2010-04-29
487,신화실업,001770.KS,1988-11-23
488,씨아이테크,004920.KS,1989-11-30
489,아세아시멘트,183190.KS,2013-11-06
490,애경산업,018250.KS,2018-03-22
491,엔에이치엔,181710.KS,2013-08-29
492,유니켐,011330.KS,1989-12-14
493,유화증권,003460.KS,1987-08-24
494,이구산업,025820.KS,1995-08-18
495,이월드,084680.KS,2005-07-26
496,일성신약,003120.KS,1985-01-14
497,제이에스코퍼레이션,194370.KS,2016-02-04
498,제이준코스메틱,025620.KS,1995-07-08
499,조비,001550.KS,1976-12-28
500,조선선재,120030.KS,2010-02-19
501,종근당바이오,063160.KS,2001-12-11
502,진양화학,051630.KS,2001-01-29
503,케이탑리츠,145270.KS,2012-01-31
504,코람코에너지리츠,357120.KS,2020-08-31
505,코스모신소재,005070.KS,1987-09-28
506,코웨이,021240.KS,2001-08-07
507,쿠쿠홈시스,284740.KS,2018-01-11
508,키위미디어그룹,012170.KS,1989-12-20
509,태평양물산,007980.KS,1994-12-27
510,테이팩스,055490.KS,2017-10-31
511,텔코웨어,078000.KS,2004-07-20
512,티와이홀딩스,363280.KS,2020-09-22
513,팜스코,036580.KS,1999-10-25
514,퍼시스,016800.KS,1996-12-24
515,포스코케미칼,003670.KS,2019-05-29
516,풍산홀딩스,005810.KS,1988-07-28
517,하이스틸,071090.KS,2003-02-17
518,하이트진로,000080.KS,2009-10-19
519,한국석유공업,004090.KS,1977-06-25
520,한국수출포장공업,002200.KS,1974-06-28
521,한국자산신탁,123890.KS,2016-07-13
522,한국주강,025890.KS,1997-07-18
523,한국콜마홀딩스,024720.KS,2002-04-09
524,한미사이언스,008930.KS,1988-06-20
525,한샘,009240.KS,2002-07-16
526,한솔홀딩스,004150.KS,1972-05-17
527,한신기계공업,011700.KS,1987-07-24
528,한화,000880.KS,1976-06-24
529,한화에어로스페이스,012450.KS,1987-05-27
530,현대자동차,005380.KS,1974-06-28
531,효성 ITX,094280.KS,2007-10-25
532,휴니드테크놀러지스,005870.KS,1991-09-03
533,GPS,014040.KS,1989-12-01
534,KTF,032390.KS,2004-04-29
535,LG정보통신,011650.KS,1995-08-18
536,NH농협증권,016420.KS,1988-03-28
537,강원은행,006590.KS,1972-03-30
538,거성산업,008100.KS,1988-09-10
