,회사명,종목코드,상장일
289,CT&T,050470.KQ,2002-04-23
290,IDH,026230.KQ,1995-10-06
291,JH코오스,065310.KQ,2002-07-19
292,JS,037110.KQ,2000-07-11
293,SIMPAC Metal,090730.KQ,2008-10-17
294,SK3호스팩,232330.KQ,2016-11-16
295,광일,023920.KQ,1996-07-01
296,나노하이텍,071360.KQ,2003-10-24
297,나리지*온,036850.KQ,1999-11-25
298,넥서스투자,019430.KQ,1989-12-08
299,다다,023140.KQ,1996-07-01
300,다임채권형일,044750.KQ,2000-06-30
301,대동금고,007090.KQ,1996-07-01
302,대백저축은행,026970.KQ,1996-01-03
303,대신석유,007930.KQ,1996-07-01
304,대아건설,000380.KQ,1993-07-30
305,대양글로벌,040180.KQ,2000-07-20
306,대흥멀티통신,037250.KQ,1999-12-07
307,동방라이텍,025690.KQ,1997-07-04
308,동방전자,004480.KQ,1996-07-01
309,동양기공,018720.KQ,1996-07-01
310,동양매직,023020.KQ,2000-07-20
311,두림티앤씨,033330.KQ,1997-11-03
312,리젠트성장1,036970.KQ,1999-11-26
313,마이다스자산배분형일,035880.KQ,1999-10-29
314,마이다스테3,040520.KQ,2000-04-21
315,마이다스하전,039920.KQ,2000-04-21
316,모보,051810.KQ,2001-07-18
317,미래아이티1,039220.KQ,2000-04-21
318,미래에셋드림이호펀드,034960.KQ,1999-07-16
319,미래에셋프리미어혼합,063680.KQ,2001-12-14
320,미래하이3,040270.KQ,2000-04-28
321,보성인터,033300.KQ,1997-11-10
322,비락,003700.KQ,1996-07-01
323,산양전기,079870.KQ,2005-07-15
324,삼덕제지,000550.KQ,1996-07-01
325,삼목강업,158380.KQ,2013-04-30
326,삼성다이나믹증권투자,034260.KQ,1999-03-12
327,삼협개발,008010.KQ,1996-07-01
328,삼호건설,004520.KQ,1996-07-01
329,선우중공업,068770.KQ,2005-05-20
330,선팩테크,054010.KQ,2001-10-23
331,소프트윈,049790.KQ,2001-02-13
332,시큐어소프트,037060.KQ,2001-08-14
333,신민저축은행,031920.KQ,1996-12-23
334,신원금속,026900.KQ,1996-07-01
